app_id,source_order,category_group,app_name,website_hint,normalized_domain,calibration_set
salesforce,1,CRM,Salesforce,salesforce.com,salesforce.com,true
hubspot,2,CRM,HubSpot,hubspot.com,hubspot.com,true
pipedrive,3,CRM,Pipedrive,pipedrive.com,pipedrive.com,true
attio,4,CRM,Attio,attio.com,attio.com,true
twenty,5,CRM,Twenty,twenty.com (open-source CRM),twenty.com,true
podio,6,CRM,Podio,podio.com,podio.com,true
zoho-crm,7,CRM,Zoho CRM,zoho.com/crm,zoho.com/crm,true
close,8,CRM,Close,close.com,close.com,true
copper,9,CRM,Copper,copper.com,copper.com,true
dealcloud,10,CRM,DealCloud,api.docs.dealcloud.com,api.docs.dealcloud.com,true
zendesk,11,Customer Support,Zendesk,zendesk.com,zendesk.com,false
intercom,12,Customer Support,Intercom,intercom.com,intercom.com,false
freshdesk,13,Customer Support,Freshdesk,freshdesk.com,freshdesk.com,false
front,14,Customer Support,Front,front.com,front.com,false
pylon,15,Customer Support,Pylon,usepylon.com,usepylon.com,false
liveagent,16,Customer Support,LiveAgent,liveagent.com,liveagent.com,false
plain,17,Customer Support,Plain,plain.com,plain.com,false
help-scout,18,Customer Support,Help Scout,helpscout.com,helpscout.com,false
gorgias,19,Customer Support,Gorgias,gorgias.com,gorgias.com,false
gladly,20,Customer Support,Gladly,gladly.com,gladly.com,false
slack,21,Communication,Slack,slack.com,slack.com,false
twilio,22,Communication,Twilio,twilio.com,twilio.com,false
zoho-cliq,23,Communication,Zoho Cliq,zoho.com/cliq,zoho.com/cliq,false
lark-larksuite,24,Communication,Lark (Larksuite),open.larksuite.com,open.larksuite.com,false
pumble,25,Communication,Pumble,pumble.com,pumble.com,false
discord,26,Communication,Discord,discord.com,discord.com,false
telegram,27,Communication,Telegram,core.telegram.org,core.telegram.org,false
whatsapp-business,28,Communication,WhatsApp Business,developers.facebook.com/docs/whatsapp,developers.facebook.com/docs/whatsapp,false
aircall,29,Communication,Aircall,aircall.io,aircall.io,false
vonage,30,Communication,Vonage,developer.vonage.com,developer.vonage.com,false
